county_geoid,county_name,NAME,state_po,congressional_district_count,congressional_districts,elected_representatives,representative_parties,total_population,total_households,median_household_income,poverty_rate,county_rural_share,cws_service_area_count,cws_component_count,cws_service_area_sq_km,estimated_cws_service_population,estimated_cws_service_households,estimated_service_area_median_household_income,vulnerable_block_group_count
13105,Elbert County,"Elbert County, Georgia",GA,1,GA-10,MIKE COLLINS,REPUBLICAN,19849,8376,58450,17.978510102308366,0.7097316290675765,4,22,5.529108396323888,496,208,63160.79317956428,3
13213,Murray County,"Murray County, Georgia",GA,1,GA-14,MARJORIE TAYLOR GREENE,REPUBLICAN,40562,15246,69253,14.397390893021635,0.679583719010332,1,2,1.0620848077442735,174,71,66774,0
27087,Mahnomen County,"Mahnomen County, Minnesota",MN,1,MN-08,PETE STAUBER,REPUBLICAN,5358,1885,59441,18.33969465648855,1,3,12,5.321661783240088,1104,380,57831,1
27053,Hennepin County,"Hennepin County, Minnesota",MN,3,MN-03 / MN-05 / MN-06,KELLY MORRISON / ILHAN OMAR / TOM EMMER,DEMOCRATIC-FARMER-LABOR / DEMOCRAT / REPUBLICAN,1269496,539493,97653,9.950824925329862,0.023880958047387373,18,96,27.634832789796917,18382,8080,105074.76531122637,0
26103,Marquette County,"Marquette County, Michigan",MI,1,MI-01,JACK BERGMAN,REPUBLICAN,67112,28255,65429,13.95429746184866,0.45498886650408227,18,130,89.19864819998288,9901,4055,71592.80931699873,1
26053,Gogebic County,"Gogebic County, Michigan",MI,1,MI-01,JACK BERGMAN,REPUBLICAN,14319,6989,52732,14.40079846011264,0.6408205841446454,6,31,17.547062985876597,2905,1363,55878.077797960366,1
26115,Monroe County,"Monroe County, Michigan",MI,2,MI-05 / MI-06,TIM WALBERG / DEBBIE DINGELL,REPUBLICAN / DEMOCRAT,155505,63029,77335,10.529022012210202,0.37721321111821665,7,24,9.196742943341732,2454,929,83195.55770923519,0
26141,Presque Isle County,"Presque Isle County, Michigan",MI,1,MI-01,JACK BERGMAN,REPUBLICAN,13209,6655,59321,13.95863542700145,1,6,35,42.13420587371754,3588,2008,56843.04351967715,2
27075,Lake County,"Lake County, Minnesota",MN,1,MN-08,PETE STAUBER,REPUBLICAN,10879,4942,75541,8.5634066448292,1,3,11,3.205765148141585,1592,766,69911.40854059227,0
27163,Washington County,"Washington County, Minnesota",MN,3,MN-08 / MN-04 / MN-02,PETE STAUBER / BETTY MCCOLLUM / ANGIE CRAIG,REPUBLICAN / DEMOCRAT,276238,105577,115345,5.123631555622296,0.1336632183220714,18,55,9.345271348441035,7434,2572,122064.64791341285,1
