congressional_district,NAME,state_po,district,candidate,party,total_population,total_households,median_household_income,poverty_rate,district_rural_share,cws_service_area_count,cws_component_count,cws_service_area_sq_km,estimated_cws_service_population,estimated_cws_service_households,estimated_service_area_median_household_income
NJ-03,"Congressional District 3 (119th Congress), New Jersey",NJ,3,HERB CONAWAY,DEMOCRAT,783491,293061,116959,5.952876638179604,0.09163334829391499,41,215,21.41286022299797,15280,5778,102713.47297196364
GA-02,"Congressional District 2 (119th Congress), Georgia",GA,2,"SANFORD D. BISHOP, JR.",DEMOCRAT,754620,292322,52535,21.91566320350775,0.3609729110376083,122,568,329.0486054316371,41700,16269,49702.67008495908
MN-07,"Congressional District 7 (119th Congress), Minnesota",MN,7,MICHELLE FISCHBACH,REPUBLICAN,716373,294666,74383,10.546748486564919,0.6811517201643552,302,1184,721.476041705504,104057,42322,76299.8544359355
NJ-11,"Congressional District 11 (119th Congress), New Jersey",NJ,11,MIKIE SHERRILL,DEMOCRAT,779403,288326,137244,5.013110022029028,0.02323122247343812,21,139,16.484257374312534,9251,3561,145003.86964579448
GA-03,"Congressional District 3 (119th Congress), Georgia",GA,3,BRIAN JACK,REPUBLICAN,785402,289066,78956,12.14785930802858,0.47622950712690604,59,281,150.80647196817418,19627,7504,80321.26925309283
NJ-08,"Congressional District 8 (119th Congress), New Jersey",NJ,8,ROBERT MENENDEZ,DEMOCRAT,763596,308189,84356,15.607301271397267,0,1,4,0.2948358565624293,2403,745,48736.29094715333
MI-05,"Congressional District 5 (119th Congress), Michigan",MI,5,TIM WALBERG,REPUBLICAN,773657,305821,70618,11.607599654294008,0.5310035305776933,129,753,204.82121678714927,64835,25680,71712.6098083684
MI-13,"Congressional District 13 (119th Congress), Michigan",MI,13,SHRI THANEDAR,DEMOCRAT,770105,308543,50833,25.752760847740333,1.7009629769944756e-4,2,4,1.5900729174419714,1857,707,192797.8778385751
SD-AL,"Congressional District (at Large) (119th Congress), South Dakota",SD,0,DUSTY JOHNSON,REPUBLICAN,907428,365544,75081,11.9301888489311,0.42780435044949233,400,1498,44217.82994195044,143670,59189,79108.56208856181
NJ-05,"Congressional District 5 (119th Congress), New Jersey",NJ,5,JOSH GOTTHEIMER,DEMOCRAT,778374,286883,132937,5.662161475733314,0.07984750526691754,61,345,47.78212946356675,30458,11964,140567.3536609488
MN-03,"Congressional District 3 (119th Congress), Minnesota",MN,3,KELLY MORRISON,DEMOCRATIC-FARMER-LABOR,708294,286158,109478,6.633224072971872,0.042337616103627435,18,96,27.632464573228408,18381,8080,105072.43984137556
MN-02,"Congressional District 2 (119th Congress), Minnesota",MN,2,ANGIE CRAIG,DEMOCRAT,730253,276148,108849,5.48750237973811,0.12983147327687736,37,138,26.038701292561537,13231,4594,106075.19031143273
NJ-01,"Congressional District 1 (119th Congress), New Jersey",NJ,1,DONALD NORCROSS,DEMOCRAT,778642,299544,90796,11.120724304065728,0.018127573136006676,14,80,17.800447975616276,14755,5465,100639.89025915788
NJ-06,"Congressional District 6 (119th Congress), New Jersey",NJ,6,"FRANK PALLONE, JR.",DEMOCRAT,780307,283304,105178,9.691584426047044,8.508858121569503e-4,3,10,9.505014632582391,1433,605,126396.81633327698
